,FO_ROW_ID,EVENT_ROW_ID_Begin,Begin,End,Fab300_Res_id,FACILITY,ResTk,Tool,User_id,WBS
0,74,962599107,2023-01-13 09:57:00,2023-01-13 19:44:00,0,PLINE300,4231350,AIXTRON,alcott43,32414/01368
1,74,963327441,2023-01-16 10:46:00,2023-01-16 17:18:00,1,PLINE300,4231356,AIXTRON,alcott43,32414/32513
2,74,963653801,2023-01-17 09:47:00,2023-01-17 18:22:00,2,PLINE300,4232067,AIXTRON,alcott43,32414/32513
3,74,965479972,2023-01-23 15:24:00,2023-01-23 22:59:00,3,PLINE300,4233377,AIXTRON,alcott43,32414/01368
4,74,965801713,2023-01-24 14:13:00,2023-01-25 07:25:00,4,PLINE300,4234404,AIXTRON,alcott43,32414/01368
5,74,966112814,2023-01-25 13:48:00,2023-01-25 21:57:00,5,PLINE300,4234409,AIXTRON,alcott43,32414/01368
6,79,964321558,2023-01-19 10:06:00,2023-01-19 11:14:00,6,PLINE300,4233385,F5_SCD,patel41,30990/32063
7,79,964799904,2023-01-20 15:58:00,2023-01-20 16:51:00,7,PLINE300,4233762,F5_SCD,patel41,30990/02250
8,262,965185566,2023-01-22 06:17:00,2023-01-22 07:49:00,8,PLINE300,4234219,LEVITOR4300,ceuppenj,39425/01221
9,263,962310296,2023-12-01 11:55:00,2023-12-01 22:18:00,9,PLINE300,4231028,POLYGON8300,cottd,31499/00881
10,429,961665193,2023-10-01 12:04:00,2023-10-01 13:42:00,10,PLINE300,4229870,SCD100,negreira,31199/02273
11,429,961692110,2023-10-01 14:05:00,2023-10-01 14:31:00,11,PLINE300,4229973,SCD100,hsingy35,30990/32063
12,429,961954137,2023-11-01 10:10:00,2023-11-01 11:28:00,12,PLINE300,4230847,SCD100,stokhof,30990/32063
13,429,962567496,2023-01-13 07:55:00,2023-01-13 08:50:00,13,PLINE300,4231367,SCD100,rondas,32499/32513
14,429,962605432,2023-01-13 10:22:00,2023-01-13 11:04:00,14,PLINE300,4231642,SCD100,stokhof,30990/32063
16,429,963385330,2023-01-16 13:56:00,2023-01-16 14:57:00,15,PLINE300,4232140,SCD100,huang72,31199/01617
18,429,963637698,2023-01-17 08:07:00,2023-01-17 08:18:00,16,PLINE300,4232428,SCD100,rondas,32499/32513
19,429,963666013,2023-01-17 10:23:00,2023-01-17 10:37:00,17,PLINE300,4232177,SCD100,stokhof,30990/32063
20,429,963696421,2023-01-17 12:00:00,2023-01-17 13:00:00,18,PLINE300,4232354,SCD100,negreira,31199/02273
21,429,963762511,2023-01-17 15:57:00,2023-01-17 17:00:00,19,PLINE300,4232578,SCD100,huang72,31199/01617
22,429,963989820,2023-01-18 09:46:00,2023-01-18 10:12:00,20,PLINE300,4232775,SCD100,gianna53,30990/32063
23,429,964292587,2023-01-19 07:50:00,2023-01-19 08:25:00,21,PLINE300,4233154,SCD100,rondas,32499/32513
24,429,964364878,2023-01-19 11:58:00,2023-01-19 13:02:00,22,PLINE300,4233468,SCD100,houben21,30990/02249
25,429,965727372,2023-01-24 09:58:00,2023-01-24 11:02:00,23,PLINE300,4234894,SCD100,lo60,30990/02249
26,433,963396238,2023-01-16 14:42:00,2023-01-16 15:16:00,24,PLINE300,N/a,SEZ304,gocyla74,36026/01221
27,695,965016351,2023-01-21 07:59:00,2023-01-21 11:32:00,25,PLINE300,4232302,ENDURA,wellens,32102/01048
30,736,961966896,2023-11-01 10:39:00,2023-12-01 16:18:00,26,PLINE300,N/a,EPSILON3200,groven85,31499/00880
33,938,961236175,2023-08-01 21:49:00,2023-09-01 01:05:00,27,PLINE300,4229449,REFLEXION,raymaek,31299/01083
34,938,962227365,2023-12-01 06:32:00,2023-12-01 07:55:00,28,PLINE300,N/a,REFLEXION,raymaek,38199/01907
35,1056,959883542,2023-03-01 10:04:00,2023-03-01 11:20:00,29,PLINE300,4211149,PRODUCER_2,vgompel,98300/14175
36,1056,961409062,2023-09-01 17:01:00,2023-09-01 20:16:00,30,PLINE300,4229897,PRODUCER_2,vgompel,98300/14175
37,1056,963086613,2023-01-15 07:40:00,2023-01-15 11:33:00,31,PLINE300,4232098,PRODUCER_2,vdveld25,98300/14175
38,1062,962572589,2023-01-13 08:18:00,2023-01-13 10:23:00,32,PLINE300,4230898,ENDURA_2,wellens,32299/01899
39,1062,964287716,2023-01-19 07:27:00,2023-01-19 13:56:00,33,PLINE300,4232285,ENDURA_2,wellens,32299/00352
40,1062,964649340,2023-01-20 07:39:00,2023-01-20 10:43:00,34,PLINE300,4232294,ENDURA_2,wellens,32102/01048
43,1073,961280619,2023-09-01 09:16:00,2023-09-01 13:38:00,35,PLINE300,4229197,REFLEXION_2,dewild34,31399/31519
44,1073,961900018,2023-11-01 06:25:00,2023-11-01 12:48:00,36,PLINE300,4230060,REFLEXION_2,raymaek,31399/00039
45,1073,962226561,2023-12-01 06:25:00,2023-12-01 12:23:00,37,PLINE300,4230066,REFLEXION_2,raymaek,31399/00039
46,1073,962610754,2023-01-13 10:45:00,2023-01-13 14:48:00,38,PLINE300,4231589,REFLEXION_2,dewild34,31399/31519
47,1073,963532258,2023-01-16 21:50:00,2023-01-17 01:15:00,39,PLINE300,4230965,REFLEXION_2,raymaek,43900/02205
48,1073,963578455,2023-01-17 01:15:00,2023-01-17 04:17:00,40,PLINE300,4230968,REFLEXION_2,raymaek,43900/02205
49,1073,963653620,2023-01-17 09:46:00,2023-01-17 15:31:00,41,PLINE300,4232611,REFLEXION_2,dewild34,32099/01506
50,1073,963863177,2023-01-17 22:02:00,2023-01-18 00:10:00,42,PLINE300,4232776,REFLEXION_2,raymaek,31399/00039
51,1073,964192982,2023-01-18 22:02:00,2023-01-19 02:02:00,43,PLINE300,4232706,REFLEXION_2,raymaek,32299/01936
52,1073,964550315,2023-01-19 22:05:00,2023-01-20 01:07:00,44,PLINE300,4232788,REFLEXION_2,raymaek,31399/00039
53,1073,964701510,2023-01-20 11:23:00,2023-01-20 15:29:00,45,PLINE300,4233220,REFLEXION_2,dewild34,32299/01084
54,1073,965779051,2023-01-24 12:59:00,2023-01-24 16:32:00,46,PLINE300,4234839,REFLEXION_2,dewild34,32005/01717
55,1082,966067130,2023-01-25 10:49:00,2023-01-25 11:52:00,47,PLINE300,4233797,OPTIMA,geenen44,36004/01225
56,1232,964073150,2023-01-18 14:43:00,2023-01-18 16:00:00,48,PLINE300,4232629,HITACHI9380,schrauw,32299/00013
59,1249,962601320,2023-01-13 10:05:00,2023-01-13 10:41:00,49,PLINE300,4231077,SEZ304_2,mehdi55,36026/01221
60,1249,964678370,2023-01-20 10:15:00,2023-01-20 10:35:00,50,PLINE300,4233424,SEZ304_2,patel41,30990/02250
61,1249,965756175,2023-01-24 11:20:00,2023-01-24 12:40:00,51,PLINE300,4234771,SEZ304_2,dubey63,30990/02250
63,1400,966051400,2023-01-25 09:51:00,2023-01-25 10:48:00,52,PLINE300,4235197,EAGLE12,kimura50,39423/01224
64,1715,963282490,2023-01-16 09:33:00,2023-01-16 09:33:00,53,PLINE300,4232248,A412,ceuppenj,39425/01224
66,2862,962392376,2023-12-01 16:51:00,2023-12-01 18:03:00,54,PLINE300,4231382,ALERIS,thomas96,31199/01513
68,3733,962555873,2023-01-13 07:01:00,2023-01-13 10:28:00,55,PLINE200,4231440,GRINDER,cuypers,32099/01084
69,3733,962677329,2023-01-13 14:17:00,2023-01-13 17:08:00,56,PLINE200,4231721,GRINDER,han41,36671/01224
71,3824,964509046,2023-01-19 18:45:00,2023-01-19 20:14:00,57,PLINE200,4233485,AMAT_MEK,leyssens,98300/01969
72,3824,966019325,2023-01-25 07:07:00,2023-01-25 10:38:00,58,PLINE200,N/a,AMAT_MEK,leyssens,39424/01221
73,3828,962732733,2023-01-13 16:55:00,2023-01-13 19:51:00,59,PLINE200,4230838,ASM1100,moelants,97401/01775
74,3828,965362707,2023-01-23 07:54:00,2023-01-23 11:50:00,60,PLINE200,4234239,ASM1100,moelants,44999/49500
76,3830,964091336,2023-01-18 15:28:00,2023-01-18 16:57:00,61,PLINE200,N/a,ASM750,krishn87,31199/01513
79,3840,962261455,2023-12-01 09:31:00,2023-12-01 11:46:00,62,PLINE200,4229790,DOM_BEOL_CU,locoroto,44999/01997
80,3840,964310602,2023-01-19 09:26:00,2023-01-19 12:20:00,63,PLINE200,4232260,DOM_BEOL_CU,locoroto,44999/01997
81,3845,962555508,2023-01-13 06:58:00,2023-01-13 10:29:00,64,PLINE200,4230033,ELECTRA_CU,bangel19,39422/01224
82,3845,962882240,2023-01-14 07:21:00,2023-01-14 10:00:00,65,PLINE200,N/a,ELECTRA_CU,bangel19,39422/01224
83,3845,964516111,2023-01-19 19:36:00,2023-01-19 20:04:00,66,PLINE200,N/a,ELECTRA_CU,bangel19,39422/01221
84,3845,965352361,2023-01-23 07:06:00,2023-01-23 11:00:00,67,PLINE200,4233451,ELECTRA_CU,bangel19,39422/01224
86,3846,960534844,2023-05-01 15:52:00,2023-05-01 21:00:00,68,PLINE200,N/a,ENDURA1,bangel19,39422/01223
91,3846,965016229,2023-01-21 07:58:00,2023-01-21 08:23:00,69,PLINE200,4233946,ENDURA1,meulem85,39422/01221
92,3846,965787125,2023-01-24 13:39:00,2023-01-24 15:24:00,70,PLINE200,4234885,ENDURA1,vlanck26,97401/02108
93,3846,966042210,2023-01-25 09:21:00,2023-01-25 10:06:00,71,PLINE200,4235189,ENDURA1,vlanck26,97401/02108
96,3859,961154474,2023-08-01 07:51:00,2023-08-01 09:12:00,72,PLINE200,4229571,HRP220_CU,redants,44999/01817
97,3860,961332157,2023-09-01 11:58:00,2023-09-01 13:16:00,73,PLINE200,4229518,KLA2351,janard53,37004/01945
98,3860,962566925,2023-01-13 07:51:00,2023-01-13 09:03:00,74,PLINE200,4231346,KLA2351,janard53,37004/01945
99,3860,964454412,2023-01-19 16:34:00,2023-01-19 19:11:00,75,PLINE200,4233392,KLA2351,janard53,32299/31838
100,3860,965795427,2023-01-24 14:01:00,2023-01-24 18:10:00,76,PLINE200,4235003,KLA2351,cooman32,37004/01945
101,3884,960743780,2023-06-01 10:17:00,2023-06-01 12:43:00,77,PLINE200,4208974,NOVA200,stokhof,30990/02250
102,3884,960816829,2023-06-01 14:36:00,2023-06-01 15:45:00,78,PLINE200,4218838,NOVA200,vais,97406/01185
106,3884,961749235,2023-10-01 17:08:00,2023-10-01 19:05:00,79,PLINE200,4229975,NOVA200,planke49,97406/01185
107,3884,961927050,2023-11-01 08:43:00,2023-11-01 10:21:00,80,PLINE200,4230047,NOVA200,verbeeck,43001/01668
110,3884,963772655,2023-01-17 16:34:00,2023-01-17 16:35:00,81,PLINE200,4230801,NOVA200,hendri21,97406/01185
111,3884,963774026,2023-01-17 16:41:00,2023-01-17 16:41:00,82,PLINE200,4230801,NOVA200,hendri21,97406/01185
112,3884,963774408,2023-01-17 16:42:00,2023-01-17 17:04:00,83,PLINE200,4230801,NOVA200,hendri21,97406/01185
113,3884,963985015,2023-01-18 09:27:00,2023-01-18 11:11:00,84,PLINE200,4232014,NOVA200,hendri21,97406/01185
114,3884,964048241,2023-01-18 13:26:00,2023-01-18 15:31:00,85,PLINE200,4233255,NOVA200,cochet,32299/00013
115,3884,964297015,2023-01-19 08:12:00,2023-01-19 10:30:00,86,PLINE200,4233013,NOVA200,lux,32008/00034
117,3884,965432478,2023-01-23 12:48:00,2023-01-23 13:59:00,87,PLINE200,4233375,NOVA200,ripj,32005/01299
118,3884,965508283,2023-01-23 17:15:00,2023-01-23 18:13:00,88,PLINE200,4233435,NOVA200,planke49,97406/01185
119,3937,965709628,2023-01-24 08:52:00,2023-01-24 12:14:00,89,PLINE200,4234883,P3_NITRIDE,vlanck26,97401/02108
121,3960,963286172,2023-01-16 09:35:00,2023-01-16 09:56:00,90,PLINE200,4232047,SP1_DLS,stokhof,30990/02249
122,3960,966105163,2023-01-25 13:22:00,2023-01-25 13:52:00,91,PLINE200,4235242,SP1_DLS,tricas85,30990/02249
123,3965,965849895,2023-01-24 16:29:00,2023-01-24 18:10:00,92,PLINE200,4234811,TELACT8_750,cooman32,31199/02272
125,3975,963272927,2023-01-16 08:54:00,2023-01-16 12:47:00,93,PLINE200,4230088,XL30_CF,vdpeer,32099/01506
129,4419,962005491,2023-11-01 12:42:00,2023-11-01 15:47:00,94,PLINE200,4229270,BONDER_200,segers56,97401/02110
126,4419,964171904,2023-01-18 19:53:00,2023-01-18 21:39:00,95,PLINE200,4233340,BONDER_200,han41,36671/01224
128,4419,966113776,2023-01-25 13:52:00,2023-01-25 16:46:00,96,PLINE200,4234368,BONDER_200,thomas82,44042/49500
131,4422,961933301,2023-11-01 09:01:00,2023-11-01 14:22:00,97,PLINE200,4229499,BLUE_M_BCB,jslabbe,32299/00013
137,4424,962608932,2023-01-13 10:37:00,2023-01-13 13:27:00,98,PLINE200,4231402,300MM_DICER,ameghn57,36671/01224
138,4424,963269920,2023-01-16 08:25:00,2023-01-16 16:59:00,99,PLINE200,4231971,300MM_DICER,schoofs,32299/02016
139,4424,964312070,2023-01-19 09:32:00,2023-01-19 16:48:00,100,PLINE200,4232792,300MM_DICER,hiro13,32299/02016
140,4424,965369408,2023-01-23 08:48:00,2023-01-23 11:53:00,101,PLINE200,N/a,300MM_DICER,schoofs,31012/01506
141,4436,962555978,2023-01-13 07:01:00,2023-01-13 11:06:00,102,PLINE200,4231441,ISIS,cuypers,32099/01084
142,4436,965255971,2023-01-22 14:41:00,2023-01-22 16:24:00,103,PLINE200,4234247,ISIS,nong52,36003/01224
143,4673,959937480,2023-03-01 12:12:00,2023-03-01 14:10:00,104,PLINE300,4209344,NOVA200_2,beirnaer,32299/00013
144,4673,960050669,2023-03-01 19:25:00,2023-03-01 20:08:00,105,PLINE300,4219909,NOVA200_2,aarts61,97406/01185
145,4673,960159623,2023-04-01 08:40:00,2023-04-01 10:36:00,106,PLINE300,4220331,NOVA200_2,leruth67,44999/01997
147,4673,960314829,2023-04-01 18:47:00,2023-04-01 19:16:00,107,PLINE300,4227823,NOVA200_2,aarts61,97406/01185
149,4673,960514963,2023-05-01 14:40:00,2023-05-01 15:36:00,108,PLINE300,4228998,NOVA200_2,vais,97700/01345
150,4673,960535572,2023-05-01 15:55:00,2023-05-01 16:47:00,109,PLINE300,4229150,NOVA200_2,beirnaer,32299/00013
151,4673,960770331,2023-06-01 11:28:00,2023-06-01 12:20:00,110,PLINE300,4229227,NOVA200_2,beirnaer,32299/00013
155,4673,961273184,2023-09-01 08:14:00,2023-09-01 09:49:00,111,PLINE300,4220272,NOVA200_2,mander15,39320/36502
156,4673,961311506,2023-09-01 10:50:00,2023-09-01 12:12:00,112,PLINE300,4229336,NOVA200_2,leruth67,44999/01997
157,4673,961353681,2023-09-01 13:54:00,2023-09-01 18:02:00,113,PLINE300,4229783,NOVA200_2,stokhof,30990/02249
158,4673,961646459,2023-10-01 10:58:00,2023-10-01 11:22:00,114,PLINE300,N/a,NOVA200_2,vais,97700/01345
159,4673,961928295,2023-11-01 08:54:00,2023-11-01 09:51:00,115,PLINE300,4220275,NOVA200_2,eswara57,39320/36502
161,4673,962383067,2023-12-01 16:13:00,2023-12-01 16:39:00,116,PLINE300,4229877,NOVA200_2,lopezb41,97406/01185
162,4673,962574690,2023-01-13 08:29:00,2023-01-13 10:13:00,117,PLINE300,4231549,NOVA200_2,maes72,98300/14175
165,4673,963276609,2023-01-16 09:19:00,2023-01-16 10:18:00,118,PLINE300,N/a,NOVA200_2,eswara57,39320/36502
168,4673,964113792,2023-01-18 16:38:00,2023-01-18 18:27:00,119,PLINE300,4233254,NOVA200_2,cochet,32299/00013
169,4673,964376150,2023-01-19 12:39:00,2023-01-19 13:44:00,120,PLINE300,4233514,NOVA200_2,eswara57,36056/36504
170,4673,964399275,2023-01-19 14:04:00,2023-01-19 14:56:00,121,PLINE300,4233600,NOVA200_2,cochet,32299/00013
172,4673,964822960,2023-01-20 17:04:00,2023-01-20 18:38:00,122,PLINE300,4233970,NOVA200_2,tripat41,97406/01185
174,4673,965487957,2023-01-23 15:49:00,2023-01-23 15:49:00,123,PLINE300,4234342,NOVA200_2,willegem,97401/01743
175,4673,965727446,2023-01-24 09:58:00,2023-01-24 11:01:00,124,PLINE300,4232997,NOVA200_2,marian80,30990/02249
177,4806,962905709,2023-01-14 10:21:00,2023-01-14 12:26:00,125,PLINE300,4231805,TXRF300,tielens,32099/01506
178,4926,959927701,2023-03-01 11:27:00,2023-03-01 13:04:00,126,PLINE300,4209260,SEMVISION,dvriendt,32299/00013
179,4926,959966576,2023-03-01 14:05:00,2023-03-01 14:57:00,127,PLINE300,4206370,SEMVISION,maes72,44999/01997
180,4926,960078732,2023-03-01 22:31:00,2023-03-01 23:23:00,128,PLINE300,N/a,SEMVISION,michal78,39320/36502
181,4926,960088342,2023-03-01 23:23:00,2023-04-01 03:01:00,129,PLINE300,N/a,SEMVISION,michal78,39320/36502
182,4926,960108459,2023-04-01 03:01:00,2023-04-01 03:30:00,130,PLINE300,N/a,SEMVISION,michal78,39320/36502
183,4926,960257134,2023-04-01 15:04:00,2023-04-01 16:23:00,131,PLINE300,4220098,SEMVISION,janard53,37092/02170
184,4926,960274359,2023-04-01 16:35:00,2023-04-01 17:09:00,132,PLINE300,4220349,SEMVISION,beirnaer,32299/00013
185,4926,960344226,2023-04-01 22:19:00,2023-04-01 22:50:00,133,PLINE300,N/a,SEMVISION,michal78,39320/36502
186,4926,960395151,2023-05-01 06:36:00,2023-05-01 11:25:00,134,PLINE300,4219882,SEMVISION,dvriendt,43001/43193
187,4926,960704542,2023-06-01 06:54:00,2023-06-01 11:09:00,135,PLINE300,4219884,SEMVISION,beirnaer,43001/43193
188,4926,960780238,2023-06-01 11:50:00,2023-06-01 12:14:00,136,PLINE300,N/a,SEMVISION,dutrow20,39320/36502
189,4926,960958883,2023-06-01 22:18:00,2023-07-01 00:28:00,137,PLINE300,N/a,SEMVISION,michal78,39320/36502
190,4926,961004230,2023-07-01 05:51:00,2023-07-01 06:34:00,138,PLINE300,4219892,SEMVISION,redants,43001/43193
191,4926,961005463,2023-07-01 06:34:00,2023-07-01 07:22:00,139,PLINE300,4219892,SEMVISION,redants,43001/43193
192,4926,961013028,2023-07-01 07:41:00,2023-07-01 10:47:00,140,PLINE300,4220352,SEMVISION,beirnaer,32299/00013
193,4926,961224902,2023-08-01 19:27:00,2023-08-01 21:11:00,141,PLINE300,N/a,SEMVISION,derudd92,39320/36502
194,4926,961239733,2023-08-01 22:42:00,2023-08-01 23:51:00,142,PLINE300,N/a,SEMVISION,derudd92,39320/36502
196,4926,961475687,2023-09-01 18:51:00,2023-09-01 19:50:00,143,PLINE300,4219902,SEMVISION,engelen,43001/43193
200,4926,961790421,2023-10-01 18:23:00,2023-10-01 18:58:00,144,PLINE300,4219907,SEMVISION,engelen,43001/43193
202,4926,961869427,2023-11-01 02:22:00,2023-11-01 02:42:00,145,PLINE300,N/a,SEMVISION,dutrow20,39320/36502
203,4926,961945653,2023-11-01 09:45:00,2023-11-01 12:01:00,146,PLINE300,4220356,SEMVISION,beirnaer,32299/00013
204,4926,962008651,2023-11-01 12:57:00,2023-11-01 19:04:00,147,PLINE300,4209267,SEMVISION,dvriendt,32299/00013
205,4926,962130806,2023-11-01 20:30:00,2023-11-01 21:15:00,148,PLINE300,N/a,SEMVISION,michal78,39320/36502
206,4926,962141862,2023-11-01 21:16:00,2023-11-01 22:06:00,149,PLINE300,N/a,SEMVISION,michal78,39320/36502
208,4926,962224471,2023-12-01 05:59:00,2023-12-01 06:50:00,150,PLINE300,4219899,SEMVISION,redants,43001/43193
210,4926,962277027,2023-12-01 10:14:00,2023-12-01 11:07:00,151,PLINE300,4230866,SEMVISION,janard53,37092/02174
211,4926,962315540,2023-12-01 12:12:00,2023-12-01 13:44:00,152,PLINE300,4219899,SEMVISION,maes72,43001/43193
212,4926,962421207,2023-12-01 18:01:00,2023-12-01 20:06:00,153,PLINE300,4219910,SEMVISION,engelen,43001/43193
213,4926,962503249,2023-01-13 00:40:00,2023-01-13 02:11:00,154,PLINE300,N/a,SEMVISION,decler36,39320/36502
214,4926,962549652,2023-01-13 06:04:00,2023-01-13 06:44:00,155,PLINE300,4219900,SEMVISION,redants,43001/43193
215,4926,962581912,2023-01-13 08:53:00,2023-01-13 10:52:00,156,PLINE300,4220358,SEMVISION,beirnaer,32299/00013
216,4926,962618621,2023-01-13 11:06:00,2023-01-13 11:24:00,157,PLINE300,4231692,SEMVISION,maes72,98300/14175
217,4926,962811949,2023-01-13 22:16:00,2023-01-14 02:19:00,158,PLINE300,N/a,SEMVISION,decler36,39320/36502
218,4926,962868075,2023-01-14 04:40:00,2023-01-14 05:09:00,159,PLINE300,N/a,SEMVISION,decler36,39320/36502
219,4926,962878741,2023-01-14 06:57:00,2023-01-14 12:35:00,160,PLINE300,4219911,SEMVISION,dvriendt,43001/43193
220,4926,962955142,2023-01-14 15:04:00,2023-01-14 15:29:00,161,PLINE300,N/a,SEMVISION,konecn85,32299/01899
222,4926,963421895,2023-01-16 15:56:00,2023-01-16 18:49:00,162,PLINE300,4220274,SEMVISION,dusar,98300/14175
223,4926,963514412,2023-01-16 20:00:00,2023-01-16 21:49:00,163,PLINE300,N/a,SEMVISION,decler36,39320/36502
224,4926,963597891,2023-01-17 03:18:00,2023-01-17 05:01:00,164,PLINE300,N/a,SEMVISION,rutkow29,39320/36502
225,4926,963616215,2023-01-17 06:12:00,2023-01-17 07:44:00,165,PLINE300,4228624,SEMVISION,engelen,44999/01997
227,4926,963698087,2023-01-17 12:07:00,2023-01-17 14:02:00,166,PLINE300,4228624,SEMVISION,billin72,44999/01997
229,4926,963832291,2023-01-17 19:40:00,2023-01-17 21:20:00,167,PLINE300,N/a,SEMVISION,decler36,39320/36502
230,4926,963932003,2023-01-18 03:14:00,2023-01-18 05:52:00,168,PLINE300,N/a,SEMVISION,sainch77,39320/36502
231,4926,963957835,2023-01-18 06:24:00,2023-01-18 08:23:00,169,PLINE300,4229107,SEMVISION,engelen,43001/43193
232,4926,963992154,2023-01-18 09:57:00,2023-01-18 10:56:00,170,PLINE300,4231612,SEMVISION,dvriendt,32299/00013
233,4926,964079060,2023-01-18 14:56:00,2023-01-18 17:07:00,171,PLINE300,4229793,SEMVISION,beirnaer,32299/00013
234,4926,964177176,2023-01-18 20:22:00,2023-01-18 21:45:00,172,PLINE300,N/a,SEMVISION,decler36,39320/36502
235,4926,964217116,2023-01-18 23:38:00,2023-01-19 01:27:00,173,PLINE300,N/a,SEMVISION,rutkow29,39320/36502
236,4926,964279669,2023-01-19 06:43:00,2023-01-19 10:08:00,174,PLINE300,4231614,SEMVISION,dvriendt,32299/00013
237,4926,964329830,2023-01-19 10:31:00,2023-01-19 14:04:00,175,PLINE300,4233307,SEMVISION,billin72,36003/01224
239,4926,964499493,2023-01-19 18:13:00,2023-01-19 19:48:00,176,PLINE300,4229577,SEMVISION,redants,43001/43193
241,4926,964550331,2023-01-19 22:06:00,2023-01-20 00:42:00,177,PLINE300,N/a,SEMVISION,sainch77,39320/36502
